clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
???,77,0.7805907172995781,0.925,0.4805194805194805,209026,3,40,37,1,['DDC'],"['DDC', 'TPH2', 'SHOX2', 'SLC6A4', 'GCH1', 'PCSK1', 'MALRD1', 'GATA3', 'NECAB1', 'DACH2']",0.45346324989870934
Astrocytes,16781,0.7828672551803609,0.9566255971838069,0.4534294738096657,191980,345,9172,7609,2,"['RORB', 'CLDN10']","['GPAM', 'RORB', 'CLDN10', 'GFAP', 'SPON1', 'HTRA1', 'PDGFD', 'SHROOM3', 'RFX4', 'PTCH1']",0.29416838518956157
CSF-cNs,721,0.7007874015748031,0.902027027027027,0.37031900138696255,208356,29,454,267,3,"['GATA3', 'ST18', 'RNF220']","['GATA3', 'ST18', 'FAT1', 'POU2F2', 'RNF220', 'PDZRN3', 'SYT10', 'CRB1', 'PAPPA', 'ST6GALNAC5']",0.27023269426185637
Cholinergic-IN,911,0.625229863920559,0.7522123893805309,0.3732162458836443,208083,112,571,340,3,"['SLC5A7', 'CHAT', 'EBF2']","['NOS1', 'SLC5A7', 'CHAT', 'EBF2', 'PDZRN3', 'TRPC4', 'CEMIP', 'DACH2', 'PAX8', 'PAX2']",0.22851676465826726
Endo,1338,0.5725758477096966,0.7608695652173914,0.28774289985052315,207647,121,953,385,2,"['LTBP4', 'HSPB1']","['LTBP4', 'HSPB1', 'EOGT', 'PARVB', 'SDCBP', 'PDE2A', 'ST8SIA4', 'SGMS2', 'ABCC4', 'PDGFD']",0.18980737497043254
Ependymal,8770,0.8497439226718604,0.9943025954842794,0.5372862029646522,200309,27,4058,4712,2,"['ZBBX', 'KIAA2012']","['MLF1', 'NEK5', 'TTC21A', 'NME5', 'ZBBX', 'KIAA2012', 'HYDIN', 'CFAP54', 'CFAP43', 'DNAH10']",0.39816508005314677
GABA-D,20932,0.5992380896777207,0.6902900378310214,0.3922702082935219,184490,3684,12721,8211,2,"['SEZ6', 'PAX8']","['IPCEF1', 'SEZ6', 'PAX8', 'TOX3', 'PAX2', 'LAMP5', 'NWD2', 'STAC', 'CACNA1G', 'HS3ST4']",0.21176425259831944
GABA-Gluta,337,0.6974128233970753,0.8985507246376812,0.36795252225519287,208755,14,213,124,3,"['NR4A2', 'CBLN2', 'CNGB1']","['NR4A2', 'ADGRA3', 'CBLN2', 'CNGB1', 'NOS1', 'ADCYAP1', 'CFAP54', 'STAC', 'CDH9', 'VWA5B1']",0.3588367035538468
GABA-M,6528,0.232977303070761,0.23830658927961762,0.21384803921568626,198116,4462,5132,1396,3,"['GALNT14', 'PAX8', 'FGF9']","['GALNT14', 'PAX8', 'FGF9', 'KCNC3', 'PAX2', 'LAMP5', 'SLC6A5', 'BCL11B', 'LYPD6B', 'SCN1B']",0.1650796481965306
GABA-V,18216,0.4461550862485894,0.5639327559857361,0.24308300395256918,187466,3424,13788,4428,3,"['HTR1F', 'FGF9', 'PAX2']","['HTR1F', 'PDGFD', 'PAX8', 'FGF9', 'LAMP5', 'PAX2', 'SAMD5', 'SLC6A5', 'LYPD6B', 'SEMA3A']",0.1409531147242966
