clusterName,markerGene,score
???,DDC,0.7805907172995781
Astrocytes,RORB,0.7828672551803609
Astrocytes,CLDN10,0.7828672551803609
CSF-cNs,GATA3,0.7007874015748031
CSF-cNs,ST18,0.7007874015748031
CSF-cNs,RNF220,0.7007874015748031
Cholinergic-IN,SLC5A7,0.625229863920559
Cholinergic-IN,CHAT,0.625229863920559
Cholinergic-IN,EBF2,0.625229863920559
Endo,LTBP4,0.5725758477096966
Endo,HSPB1,0.5725758477096966
Ependymal,ZBBX,0.8497439226718604
Ependymal,KIAA2012,0.8497439226718604
GABA-D,SEZ6,0.5992380896777207
GABA-D,PAX8,0.5992380896777207
GABA-Gluta,NR4A2,0.6974128233970753
GABA-Gluta,CBLN2,0.6974128233970753
GABA-Gluta,CNGB1,0.6974128233970753
GABA-M,GALNT14,0.232977303070761
GABA-M,PAX8,0.232977303070761
GABA-M,FGF9,0.232977303070761
GABA-V,HTR1F,0.4461550862485894
GABA-V,FGF9,0.4461550862485894
GABA-V,PAX2,0.4461550862485894
Gluta-D,EBF2,0.8072578918871275
Gluta-M,NFIX,0.3833808844507846
Gluta-M,ADCYAP1,0.3833808844507846
Gluta-M,SLC17A6,0.3833808844507846
Gluta-V,SLC17A6,0.6211568418463557
Gluta-V,PLS1,0.6211568418463557
Gluta-V,FGF9,0.6211568418463557
Lymphocytes,STAT4,0.4827586206896552
Macrophages,PDGFC,0.2363367799113737
Microglia,FAM149A,0.9130570271112496
OPC,SPON1,0.7268696069031639
OPC,ITGA9,0.7268696069031639
Oligo,ST18,0.953393401999292
Schwann,LMO7,0.32751091703056767
Skeletal Motor Neurons,TMOD1,0.8216914526062791
Skeletal Motor Neurons,BCL6,0.8216914526062791
Skeletal Motor Neurons,AHNAK2,0.8216914526062791
Vascular,THSD4,0.6901330376940134
Visceral Motor Neurons,PRIMA1,0.6288659793814433
Visceral Motor Neurons,NOS1,0.6288659793814433
Visceral Motor Neurons,SLC5A7,0.6288659793814433
