clusterName,markerGene,onTarget_per_gene,onTarget
???,DDC,0.3262395874115135,0.3262395874115135
Alpha-MN,TMOD1,0.08337664592602881,0.13565979050564808
Alpha-MN,CHAT,0.2187202647830139,0.13565979050564808
Alpha-MN,BCL6,0.10488246080790158,0.13565979050564808
CSF-cNs,CRB1,0.13531414955099116,0.0954084351246096
CSF-cNs,RNF220,0.06978322958430172,0.0954084351246096
CSF-cNs,ST6GALNAC5,0.08112792623853593,0.0954084351246096
Cholinergic-IN,NOS1,0.14811532551734743,0.13574449482962897
Cholinergic-IN,SLC5A7,0.12337366414191052,0.13574449482962897
Ependymal,ZBBX,0.25167590420771957,0.22447967502693048
Ependymal,KIAA2012,0.19728344584614138,0.22447967502693048
GABA-Dorsal-1,RORB,0.04761856607035879,0.04410205093100224
GABA-Dorsal-1,ANGPT1,0.03776863051042843,0.04410205093100224
GABA-Dorsal-1,RHBDL3,0.05124503911624446,0.04410205093100224
GABA-Dorsal-1,TMEM178A,0.03977596802697726,0.04410205093100224
GABA-Dorsal-2,ACTN2,0.03764971240950424,0.03561818993115263
GABA-Dorsal-2,PLCH1,0.03670859165416071,0.03561818993115263
GABA-Dorsal-2,GAS7,0.03249626572979293,0.03561818993115263
GABA-Dorsal-3,ENTPD3,0.04733226490255378,0.05292020220182532
GABA-Dorsal-3,RORB,0.09092063290846389,0.05292020220182532
GABA-Dorsal-3,PLPP4,0.038253383544702736,0.05292020220182532
GABA-Dorsal-3,PCSK5,0.03517452745158086,0.05292020220182532
GABA-Dorsal-4,PRKCQ,0.06778965360248497,0.07105440321552911
GABA-Dorsal-4,MITF,0.051731756071762204,0.07105440321552911
GABA-Dorsal-4,PAX2,0.09364179997234015,0.07105440321552911
GABA-Dorsal-5,THSD4,0.036134662216520785,0.04834517124354057
GABA-Dorsal-5,PDZRN3,0.05300327992293261,0.04834517124354057
GABA-Dorsal-5,ST6GALNAC5,0.05706058663840337,0.04834517124354057
GABA-Dorsal-5,SLIT3,0.047966429266917326,0.04834517124354057
GABA-Dorsal-5,NWD2,0.047560898172928766,0.04834517124354057
GABA-Dorsal-6,NRIP3,0.05632886896286446,0.06772881814002499
GABA-Dorsal-6,PRR5L,0.09042050717902997,0.06772881814002499
GABA-Dorsal-6,HUNK,0.06858345609498843,0.06772881814002499
GABA-Dorsal-6,THSD4,0.055582440323217096,0.06772881814002499
GABA-Dorsal-7,TOX,0.04546183577927608,0.05193131861067484
GABA-Dorsal-7,CCDC60,0.03903106545066124,0.05193131861067484
GABA-Dorsal-7,ANGPT1,0.041918455846261214,0.05193131861067484
